scenario_id,scenario_name,viewpoint_label,viewpoint_index,sample,seed,predicted_sigma,localisation_error,normalized_squared_error,radial_error_over_sigma,covered_50,covered_90,covered_95,covered_99
0,baseline,initial,-1,18,20270948,0.002,0.004175579857896565,4.358866787417875,2.0877899289482826,False,True,True,True
0,baseline,initial,-1,19,20270949,0.002,0.005545145388154065,7.687159343941573,2.7725726940770326,False,False,True,True
0,baseline,initial,-1,20,20270950,0.002,0.004241144096747582,4.496825812344215,2.120572048373791,False,True,True,True
0,baseline,initial,-1,21,20270951,0.002,0.0034173768104346523,2.9196160661241293,1.7086884052173261,False,True,True,True
0,baseline,initial,-1,22,20270952,0.002,0.001275633753214181,0.40681036808482457,0.6378168766070905,True,True,True,True
0,baseline,initial,-1,23,20270953,0.002,0.0036338641277754453,3.3012421247832995,1.8169320638877227,False,True,True,True
0,baseline,initial,-1,24,20270954,0.002,0.0036072711870690725,3.2531013542646794,1.8036355935345363,False,True,True,True
0,baseline,initial,-1,25,20270955,0.002,0.0023319399512665216,1.3594859840782267,1.1659699756332609,True,True,True,True
0,baseline,initial,-1,26,20270956,0.002,0.0026013001162108764,1.69169057364968,1.300650058105438,True,True,True,True
0,baseline,initial,-1,27,20270957,0.002,0.002464871230325517,1.518897545521607,1.2324356151627585,True,True,True,True
0,baseline,initial,-1,28,20270958,0.002,0.0025163188301777534,1.5829651137767844,1.2581594150888766,True,True,True,True
0,baseline,initial,-1,29,20270959,0.002,0.003991624923186952,3.983267381851811,1.995812461593476,False,True,True,True
0,baseline,initial,-1,30,20270960,0.002,0.0014545845398417196,0.5289540458866369,0.7272922699208598,True,True,True,True
0,baseline,initial,-1,31,20270961,0.002,0.0029021816410047894,2.105664569346313,1.4510908205023947,True,True,True,True
0,baseline,initial,-1,32,20270962,0.002,0.0011673291306271434,0.3406643248026806,0.5836645653135717,True,True,True,True
0,baseline,initial,-1,33,20270963,0.002,0.003732869315839167,3.483578332283393,1.8664346579195834,False,True,True,True
0,baseline,initial,-1,34,20270964,0.002,0.0028409732343239982,2.0177822295363397,1.4204866171619992,True,True,True,True
0,baseline,initial,-1,35,20270965,0.002,0.0013632585441755497,0.4646184645669098,0.6816292720877748,True,True,True,True
0,baseline,initial,-1,36,20270966,0.002,0.0017741475323615086,0.7868998666461077,0.8870737661807543,True,True,True,True
0,baseline,initial,-1,37,20270967,0.002,0.0017534298618255952,0.7686290700854315,0.8767149309127976,True,True,True,True
0,baseline,initial,-1,38,20270968,0.002,0.0042163272476026655,4.444353864719167,2.1081636238013326,False,True,True,True
0,baseline,initial,-1,39,20270969,0.002,0.0025403788628854686,1.6133811917488168,1.2701894314427342,True,True,True,True
0,baseline,initial,-1,40,20270970,0.002,0.0019656474978040715,0.9659425214058518,0.9828237489020357,True,True,True,True
0,baseline,initial,-1,41,20270971,0.002,0.002564162775647791,1.6437326850044458,1.2820813878238955,True,True,True,True
0,baseline,initial,-1,42,20270972,0.002,0.003749337534819575,3.5143829875017323,1.8746687674097875,False,True,True,True
0,baseline,initial,-1,43,20270973,0.002,0.004076274633377854,4.154003721679939,2.038137316688927,False,True,True,True
0,baseline,initial,-1,44,20270974,0.002,0.002842506148995452,2.019960301769239,1.421253074497726,True,True,True,True
0,baseline,initial,-1,45,20270975,0.002,0.0057802964458442095,8.3529567504598,2.8901482229221047,False,False,False,True
0,baseline,initial,-1,46,20270976,0.002,0.006676514825345297,11.143962553263886,3.3382574126726485,False,False,False,True
0,baseline,initial,-1,47,20270977,0.002,0.0031747673019631626,2.519786855403615,1.5873836509815813,False,True,True,True
0,baseline,initial,-1,48,20270978,0.002,0.0016891016683210967,0.7132661114812782,0.8445508341605483,True,True,True,True
0,baseline,initial,-1,49,20270979,0.002,0.0024434571746766256,1.4926207411196695,1.2217285873383128,True,True,True,True
0,baseline,initial,-1,50,20270980,0.002,0.002798297433185759,1.957617131143502,1.3991487165928793,True,True,True,True
0,baseline,initial,-1,51,20270981,0.002,0.003287782968052941,2.702379211254752,1.6438914840264705,False,True,True,True
0,baseline,initial,-1,52,20270982,0.002,0.00354947690088464,3.1496965674784074,1.77473845044232,False,True,True,True
0,baseline,initial,-1,53,20270983,0.002,0.0034351380838915594,2.9500434138505436,1.7175690419457796,False,True,True,True
