scenario,repetition,seed,fault_onset_step,detected,correct_response,response_latency_steps,completed,terminal_state,recovery_success,appropriate_terminal_response,false_alarm,unsafe_continuation,first_fault_action,replans,reacquisitions,recoveries,stops,failures
recoverable_uncertainty,10,372011,17,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,11,372112,17,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,12,372213,6,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,13,372314,10,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,14,372415,12,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,15,372516,14,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,16,372617,9,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,17,372718,7,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,18,372819,16,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,19,372920,9,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,20,373021,9,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,21,373122,18,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,22,373223,11,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,23,373324,18,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,24,373425,14,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,25,373526,15,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,26,373627,10,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,27,373728,12,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
