scenario_id,scenario_name,illumination_name,illumination_quality,observation_sigma_multiplier,repetition,strategy,perception_seed,planner_seed,mean_localisation_error,mean_predicted_sigma,camera_movement,planning_success,safe_navigation_success,collision_against_truth,safety_violation_against_truth,minimum_true_safety_clearance
3,superior_shift,moderate_degradation,0.5,1.414213562373095,0,fixed,20291210,41200,0.05746443018270051,0.03676955262170047,0.0,False,False,False,False,-inf
3,superior_shift,moderate_degradation,0.5,1.414213562373095,0,generic_active,20291210,41200,0.05746443018270051,0.03676955262170047,0.0,False,False,False,False,-inf
3,superior_shift,moderate_degradation,0.5,1.414213562373095,0,task_aware_active,20291210,41200,0.0067569284905697104,0.004324832014604097,0.09153744774286736,True,True,False,False,0.004443098587130439
3,superior_shift,moderate_degradation,0.5,1.414213562373095,1,fixed,20291211,41201,0.07300810452642624,0.03676955262170047,0.0,True,True,False,False,0.0050954638880664465
3,superior_shift,moderate_degradation,0.5,1.414213562373095,1,generic_active,20291211,41201,0.07300810452642624,0.03676955262170047,0.0,True,True,False,False,0.0050954638880664465
3,superior_shift,moderate_degradation,0.5,1.414213562373095,1,task_aware_active,20291211,41201,0.007590664382843005,0.004324832014604097,0.09153744774286736,True,True,False,False,0.0050954638880664465
3,superior_shift,severe_degradation,0.25,2.0,0,fixed,20291310,41300,0.042664981237490525,0.052000000000000005,0.0,False,False,False,False,-inf
3,superior_shift,severe_degradation,0.25,2.0,0,generic_active,20291310,41300,0.042664981237490525,0.052000000000000005,0.0,False,False,False,False,-inf
3,superior_shift,severe_degradation,0.25,2.0,0,task_aware_active,20291310,41300,0.007959506313482228,0.00611623609003847,0.09153744774286736,True,True,False,False,0.0052467934623954045
3,superior_shift,severe_degradation,0.25,2.0,1,fixed,20291311,41301,0.12754276037142812,0.052000000000000005,0.0,False,False,False,False,-inf
3,superior_shift,severe_degradation,0.25,2.0,1,generic_active,20291311,41301,0.12754276037142812,0.052000000000000005,0.0,False,False,False,False,-inf
3,superior_shift,severe_degradation,0.25,2.0,1,task_aware_active,20291311,41301,0.01222616273094404,0.00611623609003847,0.09153744774286736,True,True,False,False,0.0020890488556529457
4,larger_anatomy,normal,1.0,1.0,0,fixed,20301010,51000,0.04038392409954338,0.026000000000000002,0.0,False,False,False,False,-inf
4,larger_anatomy,normal,1.0,1.0,0,generic_active,20301010,51000,0.04038392409954338,0.026000000000000002,0.0,False,False,False,False,-inf
4,larger_anatomy,normal,1.0,1.0,0,task_aware_active,20301010,51000,0.004538713597044263,0.0029850468633666727,0.21213203435596428,True,True,False,False,0.002809646450930457
4,larger_anatomy,normal,1.0,1.0,1,fixed,20301011,51001,0.024886366245517634,0.026000000000000002,0.0,False,False,False,False,-inf
4,larger_anatomy,normal,1.0,1.0,1,generic_active,20301011,51001,0.024886366245517634,0.026000000000000002,0.0,False,False,False,False,-inf
4,larger_anatomy,normal,1.0,1.0,1,task_aware_active,20301011,51001,0.003973100514958964,0.0029850468633666727,0.21213203435596428,True,True,False,False,0.006310303725229045
