scenario_id,scenario_name,repetition,strategy,perception_seed,planner_seed,planning_success,collision_against_truth,safety_violation_against_truth,safe_navigation_success,mean_localisation_error,mean_predicted_sigma,camera_movement,minimum_true_safety_clearance,mean_planning_safety_margin,maximum_planning_safety_radius
1,lateral_positive,1,generic_active,20261902,6001,True,False,False,True,0.004155734145315554,0.0029850468633666727,0.0,0.004994552477946749,0.020970093726733342,0.04794018745346669
1,lateral_positive,1,task_aware_active,20261902,6001,True,False,False,True,0.004155734145315554,0.0029850468633666727,0.0,0.004994552477946749,0.020970093726733342,0.04794018745346669
1,lateral_positive,2,fixed,20261903,6002,True,False,False,True,0.005183381522719676,0.0029850468633666727,0.0,0.0027354730412193964,0.020970093726733342,0.04794018745346669
1,lateral_positive,2,generic_active,20261903,6002,True,False,False,True,0.005183381522719676,0.0029850468633666727,0.0,0.0027354730412193964,0.020970093726733342,0.04794018745346669
1,lateral_positive,2,task_aware_active,20261903,6002,True,False,False,True,0.005183381522719676,0.0029850468633666727,0.0,0.0027354730412193964,0.020970093726733342,0.04794018745346669
1,lateral_positive,3,fixed,20261904,6003,True,False,False,True,0.004424208432852062,0.0029850468633666727,0.0,0.007166130419966025,0.020970093726733342,0.04794018745346669
1,lateral_positive,3,generic_active,20261904,6003,True,False,False,True,0.004424208432852062,0.0029850468633666727,0.0,0.007166130419966025,0.020970093726733342,0.04794018745346669
1,lateral_positive,3,task_aware_active,20261904,6003,True,False,False,True,0.004424208432852062,0.0029850468633666727,0.0,0.007166130419966025,0.020970093726733342,0.04794018745346669
1,lateral_positive,4,fixed,20261905,6004,True,False,False,True,0.007614680976353322,0.0029850468633666727,0.0,0.007898234487037565,0.020970093726733342,0.04794018745346669
1,lateral_positive,4,generic_active,20261905,6004,True,False,False,True,0.007614680976353322,0.0029850468633666727,0.0,0.007898234487037565,0.020970093726733342,0.04794018745346669
1,lateral_positive,4,task_aware_active,20261905,6004,True,False,False,True,0.007614680976353322,0.0029850468633666727,0.0,0.007898234487037565,0.020970093726733342,0.04794018745346669
1,lateral_positive,5,fixed,20261906,6005,True,False,False,True,0.0056909088226033445,0.0029850468633666727,0.0,0.01142257122207587,0.020970093726733342,0.04794018745346669
1,lateral_positive,5,generic_active,20261906,6005,True,False,False,True,0.0056909088226033445,0.0029850468633666727,0.0,0.01142257122207587,0.020970093726733342,0.04794018745346669
1,lateral_positive,5,task_aware_active,20261906,6005,True,False,False,True,0.0056909088226033445,0.0029850468633666727,0.0,0.01142257122207587,0.020970093726733342,0.04794018745346669
1,lateral_positive,6,fixed,20261907,6006,True,False,False,True,0.006938272729699133,0.0029850468633666727,0.0,0.006161707449606658,0.020970093726733342,0.04794018745346669
1,lateral_positive,6,generic_active,20261907,6006,True,False,False,True,0.006938272729699133,0.0029850468633666727,0.0,0.006161707449606658,0.020970093726733342,0.04794018745346669
1,lateral_positive,6,task_aware_active,20261907,6006,True,False,False,True,0.006938272729699133,0.0029850468633666727,0.0,0.006161707449606658,0.020970093726733342,0.04794018745346669
1,lateral_positive,7,fixed,20261908,6007,True,False,False,True,0.003830897570800928,0.0029850468633666727,0.0,0.013913241836883776,0.020970093726733342,0.04794018745346669
1,lateral_positive,7,generic_active,20261908,6007,True,False,False,True,0.003830897570800928,0.0029850468633666727,0.0,0.013913241836883776,0.020970093726733342,0.04794018745346669
1,lateral_positive,7,task_aware_active,20261908,6007,True,False,False,True,0.003830897570800928,0.0029850468633666727,0.0,0.013913241836883776,0.020970093726733342,0.04794018745346669
1,lateral_positive,8,fixed,20261909,6008,True,False,False,True,0.0032690977271070468,0.0029850468633666727,0.0,0.009288923504974232,0.020970093726733342,0.04794018745346669
1,lateral_positive,8,generic_active,20261909,6008,True,False,False,True,0.0032690977271070468,0.0029850468633666727,0.0,0.009288923504974232,0.020970093726733342,0.04794018745346669
1,lateral_positive,8,task_aware_active,20261909,6008,True,False,False,True,0.0032690977271070468,0.0029850468633666727,0.0,0.009288923504974232,0.020970093726733342,0.04794018745346669
1,lateral_positive,9,fixed,20261910,6009,True,False,False,True,0.005513360629348308,0.0029850468633666727,0.0,0.006984087618913453,0.020970093726733342,0.04794018745346669
1,lateral_positive,9,generic_active,20261910,6009,True,False,False,True,0.005513360629348308,0.0029850468633666727,0.0,0.006984087618913453,0.020970093726733342,0.04794018745346669
1,lateral_positive,9,task_aware_active,20261910,6009,True,False,False,True,0.005513360629348308,0.0029850468633666727,0.0,0.006984087618913453,0.020970093726733342,0.04794018745346669
2,lateral_negative,0,fixed,20262901,7000,True,False,False,True,0.00496425181629598,0.0032375668825886986,0.0,0.004710805108014226,0.021475133765177394,0.048950267530354793
2,lateral_negative,0,generic_active,20262901,7000,True,False,False,True,0.00496425181629598,0.0032375668825886986,0.0,0.004710805108014226,0.021475133765177394,0.048950267530354793
2,lateral_negative,0,task_aware_active,20262901,7000,True,False,False,True,0.0047590902704042325,0.0030970156745426455,0.07296310404050822,0.003667066550614181,0.02119403134908529,0.048388062698170586
2,lateral_negative,1,fixed,20262902,7001,True,False,False,True,0.0036955454581338175,0.0032375668825886986,0.0,0.0053588474011617895,0.021475133765177394,0.048950267530354793
2,lateral_negative,1,generic_active,20262902,7001,True,False,False,True,0.0036955454581338175,0.0032375668825886986,0.0,0.0053588474011617895,0.021475133765177394,0.048950267530354793
2,lateral_negative,1,task_aware_active,20262902,7001,True,False,False,True,0.0035734798596618804,0.0030970156745426455,0.07296310404050822,0.0053588474011617895,0.02119403134908529,0.048388062698170586
2,lateral_negative,2,fixed,20262903,7002,True,False,False,True,0.003908527558457614,0.0032375668825886986,0.0,0.007696947588872521,0.021475133765177394,0.048950267530354793
2,lateral_negative,2,generic_active,20262903,7002,True,False,False,True,0.003908527558457614,0.0032375668825886986,0.0,0.007696947588872521,0.021475133765177394,0.048950267530354793
2,lateral_negative,2,task_aware_active,20262903,7002,True,False,False,True,0.0037246075186459066,0.0030970156745426455,0.07296310404050822,0.007696947588872521,0.02119403134908529,0.048388062698170586
2,lateral_negative,3,fixed,20262904,7003,True,False,False,True,0.0041155176111022295,0.0032375668825886986,0.0,0.00454349584005361,0.021475133765177394,0.048950267530354793
2,lateral_negative,3,generic_active,20262904,7003,True,False,False,True,0.0041155176111022295,0.0032375668825886986,0.0,0.00454349584005361,0.021475133765177394,0.048950267530354793
2,lateral_negative,3,task_aware_active,20262904,7003,True,False,False,True,0.003987245316913806,0.0030970156745426455,0.07296310404050822,0.0043342108245203095,0.02119403134908529,0.048388062698170586
2,lateral_negative,4,fixed,20262905,7004,True,False,False,True,0.003060323439807269,0.0032375668825886986,0.0,0.006512578804548195,0.021475133765177394,0.048950267530354793
2,lateral_negative,4,generic_active,20262905,7004,True,False,False,True,0.003060323439807269,0.0032375668825886986,0.0,0.006512578804548195,0.021475133765177394,0.048950267530354793
2,lateral_negative,4,task_aware_active,20262905,7004,True,False,False,True,0.002933820538293969,0.0030970156745426455,0.07296310404050822,0.006512578804548195,0.02119403134908529,0.048388062698170586
2,lateral_negative,5,fixed,20262906,7005,True,False,False,True,0.005430985877536282,0.0032375668825886986,0.0,0.0037411807988864936,0.021475133765177394,0.048950267530354793
2,lateral_negative,5,generic_active,20262906,7005,True,False,False,True,0.005430985877536282,0.0032375668825886986,0.0,0.0037411807988864936,0.021475133765177394,0.048950267530354793
2,lateral_negative,5,task_aware_active,20262906,7005,True,False,False,True,0.005174671391798554,0.0030970156745426455,0.07296310404050822,0.0037411807988864936,0.02119403134908529,0.048388062698170586
2,lateral_negative,6,fixed,20262907,7006,True,False,False,True,0.008296031893961827,0.0032375668825886986,0.0,0.005201349866737507,0.021475133765177394,0.048950267530354793
2,lateral_negative,6,generic_active,20262907,7006,True,False,False,True,0.008296031893961827,0.0032375668825886986,0.0,0.005201349866737507,0.021475133765177394,0.048950267530354793
2,lateral_negative,6,task_aware_active,20262907,7006,True,False,False,True,0.00781249236552335,0.0030970156745426455,0.07296310404050822,0.005201349866737507,0.02119403134908529,0.048388062698170586
2,lateral_negative,7,fixed,20262908,7007,True,False,False,True,0.008564104793028462,0.0032375668825886986,0.0,0.0035237888416897647,0.021475133765177394,0.048950267530354793
2,lateral_negative,7,generic_active,20262908,7007,True,False,False,True,0.008564104793028462,0.0032375668825886986,0.0,0.0035237888416897647,0.021475133765177394,0.048950267530354793
2,lateral_negative,7,task_aware_active,20262908,7007,True,False,False,True,0.008203465283494058,0.0030970156745426455,0.07296310404050822,0.0035237888416897647,0.02119403134908529,0.048388062698170586
2,lateral_negative,8,fixed,20262909,7008,True,False,False,True,0.005087672065675101,0.0032375668825886986,0.0,0.008756603551346739,0.021475133765177394,0.048950267530354793
2,lateral_negative,8,generic_active,20262909,7008,True,False,False,True,0.005087672065675101,0.0032375668825886986,0.0,0.008756603551346739,0.021475133765177394,0.048950267530354793
2,lateral_negative,8,task_aware_active,20262909,7008,True,False,False,True,0.004935288151260519,0.0030970156745426455,0.07296310404050822,0.008756603551346739,0.02119403134908529,0.048388062698170586
2,lateral_negative,9,fixed,20262910,7009,True,False,False,True,0.0035783143683242287,0.0032375668825886986,0.0,0.003714040819841972,0.021475133765177394,0.048950267530354793
2,lateral_negative,9,generic_active,20262910,7009,True,False,False,True,0.0035783143683242287,0.0032375668825886986,0.0,0.003714040819841972,0.021475133765177394,0.048950267530354793
2,lateral_negative,9,task_aware_active,20262910,7009,True,False,False,True,0.003456017485852521,0.0030970156745426455,0.07296310404050822,0.003714040819841972,0.02119403134908529,0.048388062698170586
3,superior_shift,0,fixed,20263901,8000,False,False,False,False,0.034847165056647034,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,0,generic_active,20263901,8000,False,False,False,False,0.034847165056647034,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,0,task_aware_active,20263901,8000,True,False,False,True,0.004071594114850384,0.003058118045019235,0.09153744774286736,0.01008068808730509,0.02111623609003847,0.04823247218007694
3,superior_shift,1,fixed,20263902,8001,False,False,False,False,0.028618874134939885,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,1,generic_active,20263902,8001,False,False,False,False,0.028618874134939885,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,1,task_aware_active,20263902,8001,True,False,False,True,0.0036230090144958446,0.003058118045019235,0.09153744774286736,0.00829897694249864,0.02111623609003847,0.04823247218007694
3,superior_shift,2,fixed,20263903,8002,False,False,False,False,0.027439606604177276,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,2,generic_active,20263903,8002,False,False,False,False,0.027439606604177276,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,2,task_aware_active,20263903,8002,True,False,False,True,0.0027336537239620574,0.003058118045019235,0.09153744774286736,0.003968516279922804,0.02111623609003847,0.04823247218007694
3,superior_shift,3,fixed,20263904,8003,False,False,False,False,0.03814057434387515,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,3,generic_active,20263904,8003,False,False,False,False,0.03814057434387515,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,3,task_aware_active,20263904,8003,True,False,False,True,0.00466794545447028,0.003058118045019235,0.09153744774286736,0.004849535078556786,0.02111623609003847,0.04823247218007694
3,superior_shift,4,fixed,20263905,8004,False,False,False,False,0.03114062298168699,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,4,generic_active,20263905,8004,False,False,False,False,0.03114062298168699,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,4,task_aware_active,20263905,8004,True,False,False,True,0.003178729703131556,0.003058118045019235,0.09153744774286736,0.006478754073826634,0.02111623609003847,0.04823247218007694
3,superior_shift,5,fixed,20263906,8005,False,False,False,False,0.029904087599928752,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,5,generic_active,20263906,8005,False,False,False,False,0.029904087599928752,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,5,task_aware_active,20263906,8005,True,False,False,True,0.005276756430596508,0.003058118045019235,0.09153744774286736,0.005532297606063724,0.02111623609003847,0.04823247218007694
3,superior_shift,6,fixed,20263907,8006,False,False,False,False,0.0758195595594155,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,6,generic_active,20263907,8006,False,False,False,False,0.0758195595594155,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,6,task_aware_active,20263907,8006,True,False,False,True,0.007405122102474808,0.003058118045019235,0.09153744774286736,0.008542187054700804,0.02111623609003847,0.04823247218007694
3,superior_shift,7,fixed,20263908,8007,True,False,False,True,0.04364785694820966,0.026000000000000002,0.0,0.005317449380013625,0.067,0.14
3,superior_shift,7,generic_active,20263908,8007,True,False,False,True,0.04364785694820966,0.026000000000000002,0.0,0.005317449380013625,0.067,0.14
3,superior_shift,7,task_aware_active,20263908,8007,True,False,False,True,0.004328372508963757,0.003058118045019235,0.09153744774286736,0.004992053419699797,0.02111623609003847,0.04823247218007694
3,superior_shift,8,fixed,20263909,8008,False,False,False,False,0.042666143851806254,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,8,generic_active,20263909,8008,False,False,False,False,0.042666143851806254,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,8,task_aware_active,20263909,8008,True,False,False,True,0.004926356513059083,0.003058118045019235,0.09153744774286736,0.002999404203365903,0.02111623609003847,0.04823247218007694
3,superior_shift,9,fixed,20263910,8009,False,False,False,False,0.050937249196235025,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,9,generic_active,20263910,8009,False,False,False,False,0.050937249196235025,0.026000000000000002,0.0,-inf,0.067,0.14
3,superior_shift,9,task_aware_active,20263910,8009,True,False,False,True,0.005103585413889965,0.003058118045019235,0.09153744774286736,0.0032515060949961216,0.02111623609003847,0.04823247218007694
4,larger_anatomy,0,fixed,20264901,9000,False,False,False,False,0.02339541948073394,0.026000000000000002,0.0,-inf,0.067,0.14250000000000002
4,larger_anatomy,0,generic_active,20264901,9000,False,False,False,False,0.02339541948073394,0.026000000000000002,0.0,-inf,0.067,0.14250000000000002
4,larger_anatomy,0,task_aware_active,20264901,9000,True,False,False,True,0.0039022998173888633,0.0029850468633666727,0.21213203435596428,0.004046404849063002,0.020970093726733342,0.05044018745346669
4,larger_anatomy,1,fixed,20264902,9001,False,False,False,False,0.03659008791740887,0.026000000000000002,0.0,-inf,0.067,0.14250000000000002
4,larger_anatomy,1,generic_active,20264902,9001,False,False,False,False,0.03659008791740887,0.026000000000000002,0.0,-inf,0.067,0.14250000000000002
4,larger_anatomy,1,task_aware_active,20264902,9001,True,False,False,True,0.004298146499251249,0.0029850468633666727,0.21213203435596428,0.006941296614868605,0.020970093726733342,0.05044018745346669
4,larger_anatomy,2,fixed,20264903,9002,True,False,False,True,0.05827730000804672,0.026000000000000002,0.0,0.005608510729219645,0.067,0.14250000000000002
4,larger_anatomy,2,generic_active,20264903,9002,True,False,False,True,0.05827730000804672,0.026000000000000002,0.0,0.005608510729219645,0.067,0.14250000000000002
4,larger_anatomy,2,task_aware_active,20264903,9002,True,False,False,True,0.005957730370680821,0.0029850468633666727,0.21213203435596428,0.005934315713323769,0.020970093726733342,0.05044018745346669
4,larger_anatomy,3,fixed,20264904,9003,False,False,False,False,0.02291943088118828,0.026000000000000002,0.0,-inf,0.067,0.14250000000000002
4,larger_anatomy,3,generic_active,20264904,9003,False,False,False,False,0.02291943088118828,0.026000000000000002,0.0,-inf,0.067,0.14250000000000002
4,larger_anatomy,3,task_aware_active,20264904,9003,True,False,False,True,0.003767728454025581,0.0029850468633666727,0.21213203435596428,0.0014263728852044657,0.020970093726733342,0.05044018745346669
4,larger_anatomy,4,fixed,20264905,9004,False,False,False,False,0.04735591159824301,0.026000000000000002,0.0,-inf,0.067,0.14250000000000002
4,larger_anatomy,4,generic_active,20264905,9004,False,False,False,False,0.04735591159824301,0.026000000000000002,0.0,-inf,0.067,0.14250000000000002
4,larger_anatomy,4,task_aware_active,20264905,9004,True,False,False,True,0.004959040268344164,0.0029850468633666727,0.21213203435596428,0.002766648724127572,0.020970093726733342,0.05044018745346669
4,larger_anatomy,5,fixed,20264906,9005,False,False,False,False,0.03575119615648236,0.026000000000000002,0.0,-inf,0.067,0.14250000000000002
4,larger_anatomy,5,generic_active,20264906,9005,False,False,False,False,0.03575119615648236,0.026000000000000002,0.0,-inf,0.067,0.14250000000000002
