scenario,repetition,episode_seed,strategy,initial_plan_success,completed,safe_completion,executed_steps,unsafe_steps,collision_steps,any_safety_violation,any_collision,replans,reacquisitions,stops,initial_blocked,final_progress,total_planning_iterations
stable,27,96101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,27,96101,closed_loop_adaptive,True,True,True,34,0,0,False,False,3,3,0,False,1.0,0
stable,28,97101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,28,97101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,28,97101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,1,0,False,1.0,0
stable,29,98101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,29,98101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,29,98101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,59
recoverable_structure_update,0,169101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,0,169101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,0,169101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,58
recoverable_structure_update,1,170101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,1,170101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,1,170101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,247
recoverable_structure_update,2,171101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,2,171101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,2,171101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,1,0,False,1.0,2185
recoverable_structure_update,3,172101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,3,172101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,3,172101,closed_loop_adaptive,True,True,True,34,0,0,False,False,3,2,0,False,1.0,624
recoverable_structure_update,4,173101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,4,173101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,4,173101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,114
recoverable_structure_update,5,174101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,5,174101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,5,174101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,158
recoverable_structure_update,6,175101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,6,175101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,6,175101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,123
recoverable_structure_update,7,176101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,7,176101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,7,176101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,49
recoverable_structure_update,8,177101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,8,177101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,8,177101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,116
recoverable_structure_update,9,178101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,9,178101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,9,178101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,494
recoverable_structure_update,10,179101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,10,179101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,10,179101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,109
recoverable_structure_update,11,180101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,11,180101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,11,180101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,67
recoverable_structure_update,12,181101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,12,181101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,12,181101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,156
recoverable_structure_update,13,182101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,13,182101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,13,182101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,274
recoverable_structure_update,14,183101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,14,183101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,14,183101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,89
recoverable_structure_update,15,184101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,15,184101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,15,184101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,130
recoverable_structure_update,16,185101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,16,185101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,16,185101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,85
recoverable_structure_update,17,186101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,17,186101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,17,186101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,108
recoverable_structure_update,18,187101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,18,187101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,18,187101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,118
recoverable_structure_update,19,188101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,19,188101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,19,188101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,45
recoverable_structure_update,20,189101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,20,189101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,20,189101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,233
recoverable_structure_update,21,190101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,21,190101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,21,190101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,85
recoverable_structure_update,22,191101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,22,191101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,22,191101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,77
recoverable_structure_update,23,192101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,23,192101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,23,192101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,215
recoverable_structure_update,24,193101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,24,193101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,24,193101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,48
recoverable_structure_update,25,194101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,25,194101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,25,194101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,73
recoverable_structure_update,26,195101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,26,195101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,26,195101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,471
recoverable_structure_update,27,196101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,27,196101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,27,196101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,71
recoverable_structure_update,28,197101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,28,197101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,28,197101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,55
recoverable_structure_update,29,198101,open_loop_nominal,True,True,False,35,1,0,True,False,0,0,0,False,1.0,0
recoverable_structure_update,29,198101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
recoverable_structure_update,29,198101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,151
transient_uncertainty_spike,0,269101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,0,269101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,0,269101,closed_loop_adaptive,True,True,True,34,0,0,False,False,6,6,0,False,1.0,0
transient_uncertainty_spike,1,270101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,1,270101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,1,270101,closed_loop_adaptive,True,True,True,34,0,0,False,False,3,3,0,False,1.0,0
transient_uncertainty_spike,2,271101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,2,271101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,2,271101,closed_loop_adaptive,True,True,True,34,0,0,False,False,5,5,0,False,1.0,0
transient_uncertainty_spike,3,272101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,3,272101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,3,272101,closed_loop_adaptive,True,True,True,34,0,0,False,False,4,4,0,False,1.0,0
transient_uncertainty_spike,4,273101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,4,273101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,4,273101,closed_loop_adaptive,True,True,True,34,0,0,False,False,4,3,0,False,1.0,0
transient_uncertainty_spike,5,274101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,5,274101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,5,274101,closed_loop_adaptive,True,True,True,34,0,0,False,False,5,4,0,False,1.0,63
transient_uncertainty_spike,6,275101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,6,275101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,6,275101,closed_loop_adaptive,True,True,True,34,0,0,False,False,5,5,0,False,1.0,0
transient_uncertainty_spike,7,276101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,7,276101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,7,276101,closed_loop_adaptive,True,True,True,34,0,0,False,False,4,4,0,False,1.0,0
transient_uncertainty_spike,8,277101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,8,277101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,8,277101,closed_loop_adaptive,True,True,True,34,0,0,False,False,3,3,0,False,1.0,0
transient_uncertainty_spike,9,278101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,9,278101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,9,278101,closed_loop_adaptive,True,True,True,34,0,0,False,False,3,3,0,False,1.0,0
transient_uncertainty_spike,10,279101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,10,279101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,10,279101,closed_loop_adaptive,True,True,True,34,0,0,False,False,5,5,0,False,1.0,0
transient_uncertainty_spike,11,280101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,11,280101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,11,280101,closed_loop_adaptive,True,True,True,34,0,0,False,False,4,4,0,False,1.0,0
transient_uncertainty_spike,12,281101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,12,281101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,12,281101,closed_loop_adaptive,True,True,True,34,0,0,False,False,5,5,0,False,1.0,0
transient_uncertainty_spike,13,282101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,13,282101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,13,282101,closed_loop_adaptive,True,True,True,34,0,0,False,False,4,4,0,False,1.0,0
transient_uncertainty_spike,14,283101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,14,283101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,14,283101,closed_loop_adaptive,True,True,True,34,0,0,False,False,7,6,0,False,1.0,0
transient_uncertainty_spike,15,284101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,15,284101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,15,284101,closed_loop_adaptive,True,True,True,34,0,0,False,False,5,5,0,False,1.0,0
transient_uncertainty_spike,16,285101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,16,285101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,16,285101,closed_loop_adaptive,True,True,True,34,0,0,False,False,4,4,0,False,1.0,0
transient_uncertainty_spike,17,286101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,17,286101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,17,286101,closed_loop_adaptive,True,True,True,34,0,0,False,False,5,5,0,False,1.0,0
transient_uncertainty_spike,18,287101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,18,287101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,18,287101,closed_loop_adaptive,True,True,True,34,0,0,False,False,4,4,0,False,1.0,0
transient_uncertainty_spike,19,288101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,19,288101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,19,288101,closed_loop_adaptive,True,True,True,34,0,0,False,False,5,5,0,False,1.0,0
transient_uncertainty_spike,20,289101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,20,289101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,20,289101,closed_loop_adaptive,True,True,True,34,0,0,False,False,6,6,0,False,1.0,0
transient_uncertainty_spike,21,290101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,21,290101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,21,290101,closed_loop_adaptive,True,True,True,34,0,0,False,False,6,6,0,False,1.0,0
transient_uncertainty_spike,22,291101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,22,291101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,22,291101,closed_loop_adaptive,True,True,True,34,0,0,False,False,4,4,0,False,1.0,0
transient_uncertainty_spike,23,292101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,23,292101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,23,292101,closed_loop_adaptive,True,True,True,34,0,0,False,False,4,4,0,False,1.0,0
transient_uncertainty_spike,24,293101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,24,293101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,24,293101,closed_loop_adaptive,True,True,True,34,0,0,False,False,3,3,0,False,1.0,0
transient_uncertainty_spike,25,294101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,25,294101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,25,294101,closed_loop_adaptive,True,True,True,34,0,0,False,False,4,3,0,False,1.0,64
transient_uncertainty_spike,26,295101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,26,295101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,26,295101,closed_loop_adaptive,True,True,True,34,0,0,False,False,5,5,0,False,1.0,0
transient_uncertainty_spike,27,296101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
transient_uncertainty_spike,27,296101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
transient_uncertainty_spike,27,296101,closed_loop_adaptive,True,True,True,34,0,0,False,False,7,7,0,False,1.0,0
transient_uncertainty_spike,28,297101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
