stress_condition,repetition,planner_policy,trajectory_released,unsafe_release,safe_release,conservative_safe_block,error_x_mm,error_y_mm,error_z_mm,minimum_surface_clearance_mm,minimum_safety_clearance_mm,truth_collision,truth_safety_violation
calibrated_gaussian,48,nominal_chance,True,False,True,False,2.9137296680046756,-0.08964348619378881,1.4818638908088109,10.139700838484837,2.1397008384848366,False,False
calibrated_gaussian,48,robust_chance,False,False,False,True,2.9137296680046756,-0.08964348619378881,1.4818638908088109,10.139700838484837,2.1397008384848366,False,False
calibrated_gaussian,49,nominal_chance,True,False,True,False,1.5572852520241403,-0.4345052794356863,-0.4449942418069348,11.270716379952436,3.270716379952436,False,False
calibrated_gaussian,49,robust_chance,False,False,False,True,1.5572852520241403,-0.4345052794356863,-0.4449942418069348,11.270716379952436,3.270716379952436,False,False
calibrated_gaussian,50,nominal_chance,True,False,True,False,-9.857647578715687,-3.543540475403834,0.6792066512260932,10.088218734323,2.088218734322999,False,False
calibrated_gaussian,50,robust_chance,False,False,False,True,-9.857647578715687,-3.543540475403834,0.6792066512260932,10.088218734323,2.088218734322999,False,False
calibrated_gaussian,51,nominal_chance,True,False,True,False,7.935689151410418,4.506459787161124,2.085333674392885,13.065892807549202,5.065892807549202,False,False
calibrated_gaussian,51,robust_chance,False,False,False,True,7.935689151410418,4.506459787161124,2.085333674392885,13.065892807549202,5.065892807549202,False,False
calibrated_gaussian,52,nominal_chance,True,False,True,False,20.150339347895525,4.845169484413535,3.14062085994988,12.77045636065787,4.770456360657869,False,False
calibrated_gaussian,52,robust_chance,False,False,False,True,20.150339347895525,4.845169484413535,3.14062085994988,12.77045636065787,4.770456360657869,False,False
calibrated_gaussian,53,nominal_chance,True,False,True,False,2.939363837015109,-0.4619358833229922,0.5262273893474221,10.474174558753385,2.4741745587533845,False,False
calibrated_gaussian,53,robust_chance,False,False,False,True,2.939363837015109,-0.4619358833229922,0.5262273893474221,10.474174558753385,2.4741745587533845,False,False
calibrated_gaussian,54,nominal_chance,True,False,True,False,1.9783364838026414,-0.4639174869258175,-0.7072560789866469,11.373827832719394,3.3738278327193947,False,False
calibrated_gaussian,54,robust_chance,False,False,False,True,1.9783364838026414,-0.4639174869258175,-0.7072560789866469,11.373827832719394,3.3738278327193947,False,False
calibrated_gaussian,55,nominal_chance,True,False,True,False,2.7961614368306376,0.84386916025109,1.145314219474007,11.080463528502483,3.0804635285024817,False,False
calibrated_gaussian,55,robust_chance,False,False,False,True,2.7961614368306376,0.84386916025109,1.145314219474007,11.080463528502483,3.0804635285024817,False,False
calibrated_gaussian,56,nominal_chance,True,False,True,False,2.3432435957813373,0.03545950643110815,3.0026976958099314,9.393907924138933,1.3939079241389336,False,False
calibrated_gaussian,56,robust_chance,False,False,False,True,2.3432435957813373,0.03545950643110815,3.0026976958099314,9.393907924138933,1.3939079241389336,False,False
calibrated_gaussian,57,nominal_chance,True,False,True,False,8.98361898535984,4.222913973332937,2.589653046655412,12.549103673145071,4.549103673145072,False,False
calibrated_gaussian,57,robust_chance,False,False,False,True,8.98361898535984,4.222913973332937,2.589653046655412,12.549103673145071,4.549103673145072,False,False
calibrated_gaussian,58,nominal_chance,True,False,True,False,19.06852040362643,5.52556344433334,3.7063840411165634,13.052920897296655,5.052920897296654,False,False
calibrated_gaussian,58,robust_chance,False,False,False,True,19.06852040362643,5.52556344433334,3.7063840411165634,13.052920897296655,5.052920897296654,False,False
calibrated_gaussian,59,nominal_chance,True,False,True,False,-8.31478069588195,-2.5539997975009605,-3.2809781205184283,12.8778009806276,4.8778009806276,False,False
calibrated_gaussian,59,robust_chance,False,False,False,True,-8.31478069588195,-2.5539997975009605,-3.2809781205184283,12.8778009806276,4.8778009806276,False,False
calibrated_gaussian,60,nominal_chance,True,False,True,False,1.2950417260273157,0.03952798848718364,2.519360981990797,9.847534978560518,1.847534978560517,False,False
calibrated_gaussian,60,robust_chance,False,False,False,True,1.2950417260273157,0.03952798848718364,2.519360981990797,9.847534978560518,1.847534978560517,False,False
calibrated_gaussian,61,nominal_chance,True,False,True,False,0.25917983461363436,-0.8310991515176306,-0.8397272197257467,11.406919977339466,3.406919977339466,False,False
calibrated_gaussian,61,robust_chance,False,False,False,True,0.25917983461363436,-0.8310991515176306,-0.8397272197257467,11.406919977339466,3.406919977339466,False,False
calibrated_gaussian,62,nominal_chance,True,False,True,False,-27.984811326546634,-7.930025247856628,-6.727438941450442,15.059708282305383,7.059708282305383,False,False
calibrated_gaussian,62,robust_chance,False,False,False,True,-27.984811326546634,-7.930025247856628,-6.727438941450442,15.059708282305383,7.059708282305383,False,False
calibrated_gaussian,63,nominal_chance,True,False,True,False,5.787060700493353,0.2977315155450946,2.1812472851366778,9.67980908957949,1.6798090895794888,False,False
calibrated_gaussian,63,robust_chance,False,False,False,True,5.787060700493353,0.2977315155450946,2.1812472851366778,9.67980908957949,1.6798090895794888,False,False
calibrated_gaussian,64,nominal_chance,True,False,True,False,-4.076159954733061,-0.7586102398165422,1.6092819000652656,10.657271825268078,2.657271825268077,False,False
calibrated_gaussian,64,robust_chance,False,False,False,True,-4.076159954733061,-0.7586102398165422,1.6092819000652656,10.657271825268078,2.657271825268077,False,False
calibrated_gaussian,65,nominal_chance,True,False,True,False,31.690181858855823,10.401334898903336,7.201835829392778,15.851804095731287,7.8518040957312865,False,False
calibrated_gaussian,65,robust_chance,False,False,False,True,31.690181858855823,10.401334898903336,7.201835829392778,15.851804095731287,7.8518040957312865,False,False
calibrated_gaussian,66,nominal_chance,True,False,True,False,-1.7977574438088093,1.0388959497571901,-3.7171461622693833,14.922498834857569,6.92249883485757,False,False
calibrated_gaussian,66,robust_chance,False,False,False,True,-1.7977574438088093,1.0388959497571901,-3.7171461622693833,14.922498834857569,6.92249883485757,False,False
calibrated_gaussian,67,nominal_chance,True,False,True,False,-6.896459083524787,-2.565151611081137,-3.9528150582615695,13.071871238257904,5.071871238257903,False,False
calibrated_gaussian,67,robust_chance,False,False,False,True,-6.896459083524787,-2.565151611081137,-3.9528150582615695,13.071871238257904,5.071871238257903,False,False
calibrated_gaussian,68,nominal_chance,True,False,True,False,-3.519290095380301,-1.093536022978266,-3.0920164179225678,13.159535684552052,5.159535684552052,False,False
calibrated_gaussian,68,robust_chance,False,False,False,True,-3.519290095380301,-1.093536022978266,-3.0920164179225678,13.159535684552052,5.159535684552052,False,False
calibrated_gaussian,69,nominal_chance,True,False,True,False,-1.9531758832654111,-0.6850456296165846,0.5877462354585948,10.927674966562584,2.9276749665625834,False,False
calibrated_gaussian,69,robust_chance,False,False,False,True,-1.9531758832654111,-0.6850456296165846,0.5877462354585948,10.927674966562584,2.9276749665625834,False,False
calibrated_gaussian,70,nominal_chance,True,False,True,False,-3.115267097987914,-2.1297318902713824,-3.1575962622999367,12.379809802111895,4.379809802111894,False,False
calibrated_gaussian,70,robust_chance,False,False,False,True,-3.115267097987914,-2.1297318902713824,-3.1575962622999367,12.379809802111895,4.379809802111894,False,False
calibrated_gaussian,71,nominal_chance,True,False,True,False,-11.026122357383285,-3.5934583107203966,-6.5736351618828355,14.63210710276657,6.63210710276657,False,False
calibrated_gaussian,71,robust_chance,False,False,False,True,-11.026122357383285,-3.5934583107203966,-6.5736351618828355,14.63210710276657,6.63210710276657,False,False
calibrated_gaussian,72,nominal_chance,True,False,True,False,-10.182997477120606,-3.6928553590771562,-2.5303315132887274,11.861853802034283,3.861853802034283,False,False
calibrated_gaussian,72,robust_chance,False,False,False,True,-10.182997477120606,-3.6928553590771562,-2.5303315132887274,11.861853802034283,3.861853802034283,False,False
calibrated_gaussian,73,nominal_chance,True,False,True,False,15.0946067368084,6.191183324230114,0.5796854362502243,15.306600132861696,7.306600132861695,False,False
calibrated_gaussian,73,robust_chance,False,False,False,True,15.0946067368084,6.191183324230114,0.5796854362502243,15.306600132861696,7.306600132861695,False,False
calibrated_gaussian,74,nominal_chance,True,False,True,False,-3.4671047974508333,-2.0624415793112503,-3.156402902542542,12.466375155709327,4.466375155709327,False,False
