condition,repetition,strategy,planning_success,direct_edge_accepted,planning_iterations,planning_time_seconds,path_cost,estimated_max_point_risk,true_centre_x,true_centre_y,true_centre_z,minimum_surface_clearance_mm,minimum_safety_clearance_mm,collision,safety_margin_violation,safe_navigation
tangential_major_axis,4,scalar_principal_sigma,False,False,0,0.00031569999919156544,,,0.10551342425967902,-0.02472689397841384,0.018777759200517448,,,False,False,False
tangential_major_axis,4,anisotropic_chance,True,True,0,0.07298090000040247,1.6773616862815874,0.045296445110338625,0.10551342425967902,-0.02472689397841384,0.018777759200517448,10.534447410404281,2.5344474104042805,False,False,True
tangential_major_axis,5,deterministic,True,True,0,0.0024051000000326894,1.6773616862815874,0.045296445110338625,0.09721626431340025,-0.02641221634598436,0.014590476959939494,9.174280276845193,1.174280276845194,False,False,True
tangential_major_axis,5,scalar_principal_sigma,False,False,0,0.00031569999919156544,,,0.09721626431340025,-0.02641221634598436,0.014590476959939494,,,False,False,False
tangential_major_axis,5,anisotropic_chance,True,True,0,0.07298090000040247,1.6773616862815874,0.045296445110338625,0.09721626431340025,-0.02641221634598436,0.014590476959939494,9.174280276845193,1.174280276845194,False,False,True
tangential_major_axis,6,deterministic,True,True,0,0.0024051000000326894,1.6773616862815874,0.045296445110338625,0.10821774365274006,-0.023916355167668372,0.02227343019561856,12.427714711157513,4.427714711157512,False,False,True
tangential_major_axis,6,scalar_principal_sigma,False,False,0,0.00031569999919156544,,,0.10821774365274006,-0.023916355167668372,0.02227343019561856,,,False,False,False
tangential_major_axis,6,anisotropic_chance,True,True,0,0.07298090000040247,1.6773616862815874,0.045296445110338625,0.10821774365274006,-0.023916355167668372,0.02227343019561856,12.427714711157513,4.427714711157512,False,False,True
tangential_major_axis,7,deterministic,True,True,0,0.0024051000000326894,1.6773616862815874,0.045296445110338625,0.10026368387131701,-0.026305625568685896,0.020051251368651456,12.077305621721079,4.077305621721079,False,False,True
tangential_major_axis,7,scalar_principal_sigma,False,False,0,0.00031569999919156544,,,0.10026368387131701,-0.026305625568685896,0.020051251368651456,,,False,False,False
tangential_major_axis,7,anisotropic_chance,True,True,0,0.07298090000040247,1.6773616862815874,0.045296445110338625,0.10026368387131701,-0.026305625568685896,0.020051251368651456,12.077305621721079,4.077305621721079,False,False,True
tangential_major_axis,8,deterministic,True,True,0,0.0024051000000326894,1.6773616862815874,0.045296445110338625,0.10727600147908095,-0.02461917525054924,0.02193034095512091,12.646072250811482,4.646072250811482,False,False,True
