trial,generic_planning_success,generic_safe,generic_collision,generic_safety_margin_violation,generic_minimum_safety_clearance_m,generic_path_cost,task_aware_planning_success,task_aware_safe,task_aware_collision,task_aware_safety_margin_violation,task_aware_minimum_safety_clearance_m,task_aware_path_cost,clearance_difference_m
47,True,True,False,False,0.00531900805297581,2.2743316883388163,True,True,False,False,0.01303284003453233,2.852011196121726,0.007713831981556521
48,True,True,False,False,0.004391770934879807,2.4994685522164257,True,True,False,False,0.005212415896425402,2.438253609160323,0.0008206449615455955
49,True,True,False,False,0.008469003274447938,2.7136035101617977,True,True,False,False,0.010903111252497292,2.7737532709613357,0.0024341079780493546
50,True,False,False,True,-0.0038119678788528528,1.7516130056574504,True,True,False,False,0.0011818431059926107,2.6325062486034065,0.004993810984845463
51,True,False,False,True,-0.006817548236057515,1.7353339011268831,True,True,False,False,0.005839368698969163,2.3248959104209805,0.012656916935026678
52,True,True,False,False,0.0006075862108122412,1.8123125065464336,True,True,False,False,0.008564745178367089,2.446828817511517,0.007957158967554848
53,True,False,False,True,-0.003871468324398929,2.2646673163217166,True,True,False,False,0.005057014807669033,2.4794102120076067,0.008928483132067962
54,True,True,False,False,0.008053019312236278,2.782468290255049,True,True,False,False,0.0009959640357544274,2.44570676323148,-0.007057055276481851
55,True,False,False,True,-0.0017022604788563076,2.6438057780253437,True,True,False,False,0.006895973558804216,2.587406896017988,0.008598234037660524
56,True,False,False,True,-0.007774656537081011,1.586943623436492,True,True,False,False,0.0019302238606335159,2.57535673873316,0.009704880397714527
57,True,True,False,False,0.004011607812083781,2.681038772889901,True,True,False,False,0.013704336777742803,2.499925476044395,0.009692728965659023
58,True,False,False,True,-0.0005228608950850911,2.6788717952596874,True,True,False,False,0.006998807863884437,3.0623874825308826,0.007521668758969528
59,True,False,False,True,-0.004957833058769541,2.378482934132883,True,True,False,False,0.004744674669270093,2.159230976510333,0.009702507728039635
60,True,False,False,True,-0.0015392141419204187,2.2025630011694437,True,True,False,False,0.009369722683082135,2.6685735916314184,0.010908936825002553
61,True,False,False,True,-0.00726061590823949,2.646911751822263,True,True,False,False,0.009657402436343351,2.6775610816059836,0.01691801834458284
62,True,False,False,True,-0.0024101964621860237,2.3140380061656085,True,True,False,False,0.009677585260655727,2.4886327315845747,0.01208778172284175
63,True,False,False,True,-0.003739623827207975,2.379562165906455,True,True,False,False,0.009758259659034504,2.5956514560952257,0.013497883486242479
64,True,False,False,True,-0.005366340411923598,1.7024565993787955,True,True,False,False,0.006924268670955696,2.373027812747525,0.012290609082879295
65,True,False,False,True,-0.0021312960326477937,2.1667578556977083,True,True,False,False,0.004295774659464463,2.54063305803113,0.006427070692112256
66,True,False,False,True,-0.011540935429170162,2.0589506661908135,True,True,False,False,0.006520844521956238,2.183233942748193,0.0180617799511264
67,True,False,False,True,-0.0018482356427104527,1.8299930752188625,True,True,False,False,0.007558776288947069,2.2734243435377794,0.009407011931657522
68,True,False,False,True,-0.0005325260785340544,1.753883495605156,True,True,False,False,0.010018530692960657,2.307795646159817,0.010551056771494711
69,True,False,False,True,-0.0018724954768872554,2.3313125695586114,True,True,False,False,0.007982426305483464,2.318170245231681,0.00985492178237072
70,True,True,False,False,0.0026962168513990133,2.3050263396764885,True,True,False,False,0.013531057302148276,2.7442553390006177,0.010834840450749263
71,True,False,False,True,-3.875959312728619e-06,2.249509778368952,True,True,False,False,0.011241429612210979,2.670593797092584,0.011245305571523707
72,True,True,False,False,0.002148787372955879,2.368839953735894,True,True,False,False,0.010730203965274005,2.3676631245074504,0.008581416592318127
73,True,False,False,True,-0.005162707609354953,2.6797514146455703,True,True,False,False,0.005515006801266901,2.802929313363177,0.010677714410621854
74,True,False,False,True,-0.007779512421854888,2.730730107868089,True,True,False,False,0.003999347275352371,2.6810762801552106,0.01177885969720726
75,True,True,False,False,0.0009898876852551582,2.717526514743989,True,True,False,False,0.010426265356134194,2.703481575314088,0.009436377670879036
76,True,False,False,True,-0.010303872122594414,2.0140759081999415,True,True,False,False,0.007369859567239094,2.672162963268191,0.017673731689833508
77,True,False,False,True,-9.554501654007903e-05,1.951345788440414,True,True,False,False,0.007179538231909975,2.2593021772748507,0.007275083248450054
78,True,True,False,False,0.003678469731538894,2.4974296656215196,True,True,False,False,0.013477941237426056,2.5605716106186334,0.009799471505887163
79,True,False,False,True,-0.0009701356737978773,1.7716332421813836,True,True,False,False,0.0014234490485622014,2.490045734852483,0.0023935847223600787
80,True,True,False,False,0.0003942951858024787,2.3668233086562944,True,True,False,False,0.009416510472813019,2.5576458332064815,0.00902221528701054
81,True,False,False,True,-0.0035370876506465258,2.0385498754828726,True,True,False,False,0.006901057427909181,2.6359620491010234,0.010438145078555706
82,True,False,False,True,-0.004352938638864998,1.6918631695818458,True,True,False,False,0.0033157788769748574,2.5736603544639607,0.0076687175158398554
83,True,True,False,False,0.0014212976584831154,2.115000557976453,True,True,False,False,0.01047770240440221,2.720822858025689,0.009056404745919094
84,True,False,False,True,-0.0006956969098450092,1.774251285412237,True,True,False,False,0.013312808781006073,3.1005814465954717,0.014008505690851082
