scenario_id,scenario_name,movement_weight,selected_candidate_index,camera_movement,predicted_sigma,task_relevance,task_alignment,normalised_generic_utility,normalised_uncertainty_information,normalised_movement_cost,final_score,generic_candidate_index,generic_camera_movement,generic_predicted_sigma,differs_from_generic
4,larger_anatomy,0.0,12,0.0,0.0020000000000000005,0.19229179037688582,0.891880547233283,1.0,0.9999999999999997,0.0,1.3637930976066903,12,0.0,0.0020000000000000005,False
4,larger_anatomy,0.25,12,0.0,0.0020000000000000005,0.19229179037688582,0.891880547233283,1.0,0.9999999999999997,0.0,1.3637930976066903,12,0.0,0.0020000000000000005,False
4,larger_anatomy,0.5,12,0.0,0.0020000000000000005,0.19229179037688582,0.891880547233283,1.0,0.9999999999999997,0.0,1.3637930976066903,12,0.0,0.0020000000000000005,False
4,larger_anatomy,1.0,12,0.0,0.0020000000000000005,0.19229179037688582,0.891880547233283,1.0,0.9999999999999997,0.0,1.3637930976066903,12,0.0,0.0020000000000000005,False
4,larger_anatomy,2.0,12,0.0,0.0020000000000000005,0.19229179037688582,0.891880547233283,1.0,0.9999999999999997,0.0,1.3637930976066903,12,0.0,0.0020000000000000005,False
4,larger_anatomy,4.0,12,0.0,0.0020000000000000005,0.19229179037688582,0.891880547233283,1.0,0.9999999999999997,0.0,1.3637930976066903,12,0.0,0.0020000000000000005,False
4,larger_anatomy,8.0,12,0.0,0.0020000000000000005,0.19229179037688582,0.891880547233283,1.0,0.9999999999999997,0.0,1.3637930976066903,12,0.0,0.0020000000000000005,False
5,smaller_anatomy,0.0,15,0.0,0.002,0.19229179037688582,0.9936644860564042,1.0,1.0,0.0,1.3833653134346,15,0.0,0.002,False
5,smaller_anatomy,0.25,15,0.0,0.002,0.19229179037688582,0.9936644860564042,1.0,1.0,0.0,1.3833653134346,15,0.0,0.002,False
5,smaller_anatomy,0.5,15,0.0,0.002,0.19229179037688582,0.9936644860564042,1.0,1.0,0.0,1.3833653134346,15,0.0,0.002,False
5,smaller_anatomy,1.0,15,0.0,0.002,0.19229179037688582,0.9936644860564042,1.0,1.0,0.0,1.3833653134346,15,0.0,0.002,False
5,smaller_anatomy,2.0,15,0.0,0.002,0.19229179037688582,0.9936644860564042,1.0,1.0,0.0,1.3833653134346,15,0.0,0.002,False
5,smaller_anatomy,4.0,15,0.0,0.002,0.19229179037688582,0.9936644860564042,1.0,1.0,0.0,1.3833653134346,15,0.0,0.002,False
5,smaller_anatomy,8.0,15,0.0,0.002,0.19229179037688582,0.9936644860564042,1.0,1.0,0.0,1.3833653134346,15,0.0,0.002,False
6,larger_safety_margin,0.0,18,0.0,0.002,0.19229179037688582,0.9517938210329573,1.0,1.0,0.0,1.3753139282929703,18,0.0,0.002,False
6,larger_safety_margin,0.25,18,0.0,0.002,0.19229179037688582,0.9517938210329573,1.0,1.0,0.0,1.3753139282929703,18,0.0,0.002,False
6,larger_safety_margin,0.5,18,0.0,0.002,0.19229179037688582,0.9517938210329573,1.0,1.0,0.0,1.3753139282929703,18,0.0,0.002,False
6,larger_safety_margin,1.0,18,0.0,0.002,0.19229179037688582,0.9517938210329573,1.0,1.0,0.0,1.3753139282929703,18,0.0,0.002,False
6,larger_safety_margin,2.0,18,0.0,0.002,0.19229179037688582,0.9517938210329573,1.0,1.0,0.0,1.3753139282929703,18,0.0,0.002,False
6,larger_safety_margin,4.0,18,0.0,0.002,0.19229179037688582,0.9517938210329573,1.0,1.0,0.0,1.3753139282929703,18,0.0,0.002,False
6,larger_safety_margin,8.0,18,0.0,0.002,0.19229179037688582,0.9517938210329573,1.0,1.0,0.0,1.3753139282929703,18,0.0,0.002,False
7,partial_occlusion,0.0,16,0.0520944533000791,0.002,0.19229179037688582,0.9980562557961319,1.0,1.0,0.13023613325019773,1.384209814700775,16,0.0520944533000791,0.002,False
7,partial_occlusion,0.25,16,0.0520944533000791,0.002,0.19229179037688582,0.9980562557961319,1.0,1.0,0.13023613325019773,1.3516507813882257,16,0.0520944533000791,0.002,False
7,partial_occlusion,0.5,16,0.0520944533000791,0.002,0.19229179037688582,0.9980562557961319,1.0,1.0,0.13023613325019773,1.3190917480756763,16,0.0520944533000791,0.002,False
7,partial_occlusion,1.0,16,0.0520944533000791,0.002,0.19229179037688582,0.9980562557961319,1.0,1.0,0.13023613325019773,1.2539736814505773,16,0.0520944533000791,0.002,False
7,partial_occlusion,2.0,16,0.0520944533000791,0.002,0.19229179037688582,0.9980562557961319,1.0,1.0,0.13023613325019773,1.1237375482003795,16,0.0520944533000791,0.002,False
7,partial_occlusion,4.0,16,0.0520944533000791,0.002,0.19229179037688582,0.9980562557961319,1.0,1.0,0.13023613325019773,0.8632652816999842,16,0.0520944533000791,0.002,False
7,partial_occlusion,8.0,16,0.0520944533000791,0.002,0.19229179037688582,0.9980562557961319,1.0,1.0,0.13023613325019773,0.34232074869919327,16,0.0520944533000791,0.002,False
8,strong_occlusion,0.0,4,0.24413930440481207,0.002,0.18565499596942625,0.9984984743017087,0.9905526493782872,1.0,0.6103482610120301,1.3615838755696754,20,0.0520944533000791,0.002,True
8,strong_occlusion,0.25,20,0.0520944533000791,0.002,0.18565499596942625,0.8878572191035565,1.0,1.0,0.13023613325019773,1.3179310910909736,20,0.0520944533000791,0.002,False
8,strong_occlusion,0.5,20,0.0520944533000791,0.002,0.18565499596942625,0.8878572191035565,1.0,1.0,0.13023613325019773,1.2853720577784242,20,0.0520944533000791,0.002,False
8,strong_occlusion,1.0,20,0.0520944533000791,0.002,0.18565499596942625,0.8878572191035565,1.0,1.0,0.13023613325019773,1.2202539911533252,20,0.0520944533000791,0.002,False
8,strong_occlusion,2.0,20,0.0520944533000791,0.002,0.18565499596942625,0.8878572191035565,1.0,1.0,0.13023613325019773,1.0900178579031277,20,0.0520944533000791,0.002,False
