trial,strategy,perception_seed,planner_seed,mean_localisation_error,mean_predicted_sigma,camera_movement,planning_success,collision_against_truth,safety_violation_against_truth,minimum_true_safety_clearance,mean_planning_safety_margin,maximum_planning_safety_radius
8,generic_active,20260831,2008,0.06448845537838221,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
8,task_aware_active,20260831,2008,0.005891324357365183,0.003117711648907182,0.11544233643275585,True,False,False,0.002969010591977619,0.02123542329781436,0.048470846595628725
9,fixed,20260832,2009,0.0052519019339568205,0.003289246736164148,0.0,True,False,False,0.008070849942578803,0.021578493472328295,0.04915698694465659
9,generic_active,20260832,2009,0.04217953846231738,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
9,task_aware_active,20260832,2009,0.004972986246727165,0.003117711648907182,0.11544233643275585,True,False,False,0.008070849942578803,0.02123542329781436,0.048470846595628725
10,fixed,20260833,2010,0.004179600058414286,0.003289246736164148,0.0,True,False,False,0.008336490234712215,0.021578493472328295,0.04915698694465659
10,generic_active,20260833,2010,0.02731458005118355,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
10,task_aware_active,20260833,2010,0.004004860772330495,0.003117711648907182,0.11544233643275585,True,False,False,0.008336490234712215,0.02123542329781436,0.048470846595628725
11,fixed,20260834,2011,0.004464065924694111,0.003289246736164148,0.0,True,False,False,0.008606758428998195,0.021578493472328295,0.04915698694465659
11,generic_active,20260834,2011,0.02090227260381378,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
11,task_aware_active,20260834,2011,0.004339907593867596,0.003117711648907182,0.11544233643275585,True,False,False,0.008606758428998195,0.02123542329781436,0.048470846595628725
12,fixed,20260835,2012,0.0059642284766422355,0.003289246736164148,0.0,True,False,False,0.004708725206704454,0.021578493472328295,0.04915698694465659
12,generic_active,20260835,2012,0.057627246804696226,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
12,task_aware_active,20260835,2012,0.00557401595247322,0.003117711648907182,0.11544233643275585,True,False,False,0.004708725206704454,0.02123542329781436,0.048470846595628725
13,fixed,20260836,2013,0.007043883068803986,0.003289246736164148,0.0,True,False,False,0.003794231154592811,0.021578493472328295,0.04915698694465659
13,generic_active,20260836,2013,0.06555960831946282,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
13,task_aware_active,20260836,2013,0.006601911817557117,0.003117711648907182,0.11544233643275585,True,False,False,0.003794231154592811,0.02123542329781436,0.048470846595628725
14,fixed,20260837,2014,0.004305588223221698,0.003289246736164148,0.0,True,False,False,0.007088456026418942,0.021578493472328295,0.04915698694465659
14,generic_active,20260837,2014,0.031011443078746388,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
14,task_aware_active,20260837,2014,0.004103877998567506,0.003117711648907182,0.11544233643275585,True,False,False,0.004763543375334979,0.02123542329781436,0.048470846595628725
15,fixed,20260838,2015,0.007190197533425072,0.003289246736164148,0.0,True,False,False,0.0030574824663978147,0.021578493472328295,0.04915698694465659
15,generic_active,20260838,2015,0.06471160600348357,0.026000000000000002,0.03642709213008326,True,False,False,0.0030574824663978147,0.067,0.14
15,task_aware_active,20260838,2015,0.006755736390440141,0.003117711648907182,0.11544233643275585,True,False,False,0.0017662084433019472,0.02123542329781436,0.048470846595628725
16,fixed,20260839,2016,0.003816065577718592,0.003289246736164148,0.0,True,False,False,0.00563185174606552,0.021578493472328295,0.04915698694465659
16,generic_active,20260839,2016,0.02903417976019897,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
16,task_aware_active,20260839,2016,0.0036255923086687195,0.003117711648907182,0.11544233643275585,True,False,False,0.00563185174606552,0.02123542329781436,0.048470846595628725
17,fixed,20260840,2017,0.007196865067511558,0.003289246736164148,0.0,True,False,False,0.0038523484974482946,0.021578493472328295,0.04915698694465659
17,generic_active,20260840,2017,0.059571048186163045,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
17,task_aware_active,20260840,2017,0.0068012810916345335,0.003117711648907182,0.11544233643275585,True,False,False,0.0032598588452382154,0.02123542329781436,0.048470846595628725
18,fixed,20260841,2018,0.006900369533450199,0.003289246736164148,0.0,True,False,False,0.008654334462295311,0.021578493472328295,0.04915698694465659
18,generic_active,20260841,2018,0.0593636028865326,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
18,task_aware_active,20260841,2018,0.006504112958141715,0.003117711648907182,0.11544233643275585,True,False,False,0.003982922319055232,0.02123542329781436,0.048470846595628725
19,fixed,20260842,2019,0.0032556875318953044,0.003289246736164148,0.0,True,False,False,0.006682183744912576,0.021578493472328295,0.04915698694465659
19,generic_active,20260842,2019,0.025098739782395855,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
19,task_aware_active,20260842,2019,0.0030907062197292096,0.003117711648907182,0.11544233643275585,True,False,False,0.006682183744912576,0.02123542329781436,0.048470846595628725
20,fixed,20260843,2020,0.004090702902046547,0.003289246736164148,0.0,True,False,False,0.0038495850466633477,0.021578493472328295,0.04915698694465659
20,generic_active,20260843,2020,0.026108607044675606,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
20,task_aware_active,20260843,2020,0.003924400927627426,0.003117711648907182,0.11544233643275585,True,False,False,0.0038495850466633477,0.02123542329781436,0.048470846595628725
21,fixed,20260844,2021,0.003693741935353886,0.003289246736164148,0.0,True,False,False,0.005168000451467326,0.021578493472328295,0.04915698694465659
21,generic_active,20260844,2021,0.03131279763991308,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
21,task_aware_active,20260844,2021,0.0034851342738114284,0.003117711648907182,0.11544233643275585,True,False,False,0.005168000451467326,0.02123542329781436,0.048470846595628725
