scenario_id,scenario_name,movement_weight,generic_candidate_index,task_candidate_index,generic_movement,task_movement,generic_sigma,task_sigma,generic_alignment,task_alignment,generic_information,task_information,generic_normalised_movement,task_normalised_movement,generic_score,task_score,different_candidate
8,strong_occlusion,1.0,20,20,0.0520944533000791,0.0520944533000791,0.002,0.002,0.8878572191035565,0.8878572191035565,1.0,1.0,0.13023613325019773,0.13023613325019773,0.8697638667498022,1.7576210858533587,False
9,combined_variation,0.0,0,4,0.0915374477428674,0.21213203435596426,0.002,0.002,0.8914956661115288,0.9982101592881643,1.0,1.0,0.2288436193571685,0.5303300858899106,1.0,1.9982101592881643,True
9,combined_variation,0.025,1,4,0.0520944533000791,0.21213203435596426,0.002,0.002,0.933604315329537,0.9982101592881643,1.0,1.0,0.13023613325019773,0.5303300858899106,0.9967440966687451,1.9849519071409165,True
9,combined_variation,0.05,1,3,0.0520944533000791,0.15445684197314494,0.002,0.002,0.933604315329537,0.9937946070052424,1.0,1.0,0.13023613325019773,0.38614210493286233,0.9934881933374902,1.9744875017585992,True
9,combined_variation,0.075,1,15,0.0520944533000791,0.15000000000000002,0.002,0.0020000000000000005,0.933604315329537,0.9932155115989278,1.0,1.0,0.13023613325019773,0.37500000000000006,0.9902322900062351,1.965090511598928,True
9,combined_variation,0.1,1,15,0.0520944533000791,0.15000000000000002,0.002,0.0020000000000000005,0.933604315329537,0.9932155115989278,1.0,1.0,0.13023613325019773,0.37500000000000006,0.9869763866749802,1.9557155115989278,True
9,combined_variation,0.15,1,14,0.0520944533000791,0.07764571353075625,0.002,0.002000000000000001,0.933604315329537,0.9687334180474103,1.0,1.0,0.13023613325019773,0.1941142838268906,0.9804645800124704,1.9396162754733766,True
9,combined_variation,0.2,1,14,0.0520944533000791,0.07764571353075625,0.002,0.002000000000000001,0.933604315329537,0.9687334180474103,1.0,1.0,0.13023613325019773,0.1941142838268906,0.9739527733499604,1.9299105612820322,True
9,combined_variation,0.25,1,14,0.0520944533000791,0.07764571353075625,0.002,0.002000000000000001,0.933604315329537,0.9687334180474103,1.0,1.0,0.13023613325019773,0.1941142838268906,0.9674409666874506,1.9202048470906876,True
9,combined_variation,0.5,1,14,0.0520944533000791,0.07764571353075625,0.002,0.002000000000000001,0.933604315329537,0.9687334180474103,1.0,1.0,0.13023613325019773,0.1941142838268906,0.9348819333749011,1.871676276133965,True
9,combined_variation,1.0,1,1,0.0520944533000791,0.0520944533000791,0.002,0.002,0.933604315329537,0.933604315329537,1.0,1.0,0.13023613325019773,0.13023613325019773,0.8697638667498022,1.8033681820793392,False
